item,week_end_date,weekly_qty,market_closed
Red KidneyBean Plate,2025-11-01,0,1
Red KidneyBean Plate,2025-11-08,0,1
Red KidneyBean Plate,2025-11-15,0,1
Red KidneyBean Plate,2025-11-22,0,1
Red KidneyBean Plate,2025-11-29,0,1
Red KidneyBean Plate,2025-12-06,0,1
Red KidneyBean Plate,2025-12-13,0,1
Red KidneyBean Plate,2025-12-20,0,1
Red KidneyBean Plate,2025-12-27,0,1
Red KidneyBean Plate,2026-01-03,0,1
Red KidneyBean Plate,2026-01-10,0,1
Red KidneyBean Plate,2026-01-17,0,1
Red KidneyBean Plate,2026-01-24,0,1
Red KidneyBean Plate,2026-01-31,0,1
Red KidneyBean Plate,2026-02-07,0,1
Red KidneyBean Plate,2026-02-14,0,1
Red KidneyBean Plate,2026-02-21,0,1
Red KidneyBean Plate,2026-02-28,0,1
Red KidneyBean Plate,2026-03-07,0,1
Red KidneyBean Plate,2026-03-14,0,1
Red KidneyBean Plate,2026-03-21,0,1
Red KidneyBean Plate,2026-03-28,0,1
Red KidneyBean Plate,2026-04-04,0,1
Red KidneyBean Plate,2026-04-11,0,1
Strawberry yogurt,2025-10-25,0,1
Strawberry yogurt,2025-11-01,0,1
Strawberry yogurt,2025-11-08,0,1
Strawberry yogurt,2025-11-15,0,1
Strawberry yogurt,2025-11-22,0,1
Strawberry yogurt,2025-11-29,0,1
Strawberry yogurt,2025-12-06,0,1
Strawberry yogurt,2025-12-13,0,1
Strawberry yogurt,2025-12-20,0,1
Strawberry yogurt,2025-12-27,0,1
Strawberry yogurt,2026-01-03,0,1
Strawberry yogurt,2026-01-10,0,1
Strawberry yogurt,2026-01-17,0,1
Strawberry yogurt,2026-01-24,0,1
Strawberry yogurt,2026-01-31,0,1
Strawberry yogurt,2026-02-07,0,1
Strawberry yogurt,2026-02-14,0,1
Strawberry yogurt,2026-02-21,0,1
Strawberry yogurt,2026-02-28,0,1
Strawberry yogurt,2026-03-07,0,1
Strawberry yogurt,2026-03-14,0,1
Strawberry yogurt,2026-03-21,0,1
Strawberry yogurt,2026-03-28,0,1
Strawberry yogurt,2026-04-04,0,1
Strawberry yogurt,2026-04-11,0,1
Water,2025-10-25,0,1
Water,2025-11-01,0,1
Water,2025-11-08,0,1
Water,2025-11-15,0,1
Water,2025-11-22,0,1
Water,2025-11-29,0,1
Water,2025-12-06,0,1
Water,2025-12-13,0,1
Water,2025-12-20,0,1
Water,2025-12-27,0,1
Water,2026-01-03,0,1
Water,2026-01-10,0,1
Water,2026-01-17,0,1
Water,2026-01-24,0,1
Water,2026-01-31,0,1
Water,2026-02-07,0,1
Water,2026-02-14,0,1
Water,2026-02-21,0,1
Water,2026-02-28,0,1
Water,2026-03-07,0,1
Water,2026-03-14,0,1
Water,2026-03-21,0,1
Water,2026-03-28,0,1
Water,2026-04-04,0,1
Water,2026-04-11,0,1
